month,member_casual,rideable_type,day_type,day_of_week,time_of_day,length_distro_min,ride_count,sum_ride_length_sec
September 2024,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,60+,490,3964821
September 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,31 - 40,156,332731
September 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,60+,831,5495312
September 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,51 - 60,75,251960
September 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,31 - 40,139,301329
October 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,51 - 60,8,27170
October 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,0 - 10,463,171402
October 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,60+,711,5840672
October 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,21 - 30,691,1059732
August 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,11 - 20,1433,1335820
August 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,41 - 50,254,694502
June 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,0 - 10,279,107402
June 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,41 - 50,123,335313
May 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,51 - 60,34,113434
March 2024,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,51 - 60,77,256603
March 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,31 - 40,2,4129
March 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,31 - 40,14,29927
January 2024,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,11 - 20,17,15273
July 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,0 - 10,426,165501
February 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,21 - 30,3,4015
April 2024,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,11 - 20,335,301754
April 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,60+,80,707904
April 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,51 - 60,37,125942
November 2023,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,41 - 50,5,13709
December 2023,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,11 - 20,135,121895
December 2023,casual,classic_bike,weekend,1,6:00 AM - 8:59 AM,0 - 10,58,23251
December 2023,casual,classic_bike,weekend,1,6:00 AM - 8:59 AM,31 - 40,5,9775
September 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,60+,152,1729929
September 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,11 - 20,546,504550
October 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,60+,158,1309270
August 2024,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,0 - 10,678,287329
August 2024,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,11 - 20,609,566633
August 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,21 - 30,400,612349
March 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,11 - 20,343,317728
January 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,11 - 20,19,17288
July 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,60+,429,2835909
July 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,21 - 30,130,198551
February 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,41 - 50,4,11732
April 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,51 - 60,2,7162
April 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,41 - 50,23,62827
April 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,60+,612,3966627
November 2023,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,21 - 30,21,32192
December 2023,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,31 - 40,9,18283
December 2023,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,21 - 30,25,37891
September 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,11 - 20,334,301255
September 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,11 - 20,1087,1016371
October 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,51 - 60,66,220267
October 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,31 - 40,453,964811
October 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,21 - 30,858,1312796
October 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,60+,11,56857
August 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,60+,479,3822708
August 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,0 - 10,275,105492
August 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,60+,82,1018340
June 2024,casual,classic_bike,weekend,1,6:00 AM - 8:59 AM,41 - 50,47,128556
June 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,51 - 60,27,90868
May 2024,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,11 - 20,930,876676
March 2024,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,60+,205,1534433
March 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,11 - 20,261,239480
March 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,0 - 10,177,71649
March 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,11 - 20,102,92885
March 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,31 - 40,34,73091
March 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,51 - 60,49,163601
January 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,41 - 50,2,5683
January 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,41 - 50,1,3033
July 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,11 - 20,85,71967
July 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,41 - 50,88,237653
February 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,31 - 40,8,17063
February 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,51 - 60,0,0
November 2023,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,60+,2,8140
November 2023,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,21 - 30,172,261611
November 2023,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,51 - 60,4,13188
November 2023,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,51 - 60,37,123650
December 2023,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,11 - 20,148,133570
December 2023,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,11 - 20,35,33815
September 2024,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,51 - 60,48,160854
September 2024,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,11 - 20,682,624613
October 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,0 - 10,361,145990
August 2024,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,51 - 60,181,606847
August 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,41 - 50,11,30125
August 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,21 - 30,78,118215
June 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,60+,29,146779
June 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,11 - 20,1990,1848892
May 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,0 - 10,734,302127
May 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,51 - 60,41,136821
July 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,31 - 40,160,337334
February 2024,casual,classic_bike,weekend,1,6:00 AM - 8:59 AM,60+,9,66999
February 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,0 - 10,32,11191
April 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,31 - 40,29,62109
November 2023,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,11 - 20,56,48966
November 2023,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,31 - 40,101,216000
December 2023,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,0 - 10,297,112600
September 2024,casual,classic_bike,weekend,1,6:00 AM - 8:59 AM,51 - 60,42,141504
September 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,21 - 30,99,148892
October 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,21 - 30,89,135010
August 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,11 - 20,122,107749
August 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,41 - 50,16,44626
June 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,60+,113,618449
June 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,21 - 30,176,266455
June 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,21 - 30,33,50445
May 2024,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,0 - 10,785,330035
May 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,0 - 10,1029,428956
May 2024,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,21 - 30,621,956540
March 2024,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,31 - 40,153,324892
January 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,60+,8,46282
January 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,21 - 30,13,19264
January 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,31 - 40,6,11667
July 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,41 - 50,28,78117
April 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,60+,7,34987
April 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,31 - 40,366,776641
April 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,21 - 30,207,319984
April 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,0 - 10,394,156999
November 2023,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,51 - 60,3,10340
December 2023,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,31 - 40,7,14370
December 2023,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,21 - 30,34,49000
September 2024,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,51 - 60,57,191168
September 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,21 - 30,236,356281
September 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,31 - 40,111,235700
September 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,0 - 10,786,326105
September 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,0 - 10,796,314087
October 2024,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,51 - 60,21,70092
October 2024,casual,classic_bike,weekend,1,6:00 AM - 8:59 AM,31 - 40,91,191451
August 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,31 - 40,87,182018
June 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,51 - 60,25,84664
May 2024,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,11 - 20,322,302734
May 2024,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,51 - 60,39,130213
March 2024,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,11 - 20,459,428669
March 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,21 - 30,31,48049
March 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,0 - 10,449,179356
March 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,60+,1,5099
March 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,11 - 20,125,111575
January 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,60+,0,0
January 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,60+,0,0
January 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,21 - 30,9,12980
July 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,21 - 30,55,84214
February 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,60+,1,9877
February 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,0 - 10,460,191070
February 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,21 - 30,46,70284
February 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,31 - 40,4,8639
April 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,60+,57,263915
April 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,21 - 30,261,403616
November 2023,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,0 - 10,323,123767
December 2023,casual,electric_bike,weekend,1,3:00 PM - 4:59 PM,60+,4,18463
December 2023,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,60+,8,36753
December 2023,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,21 - 30,63,93859
September 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,0 - 10,949,379623
October 2024,casual,electric_bike,weekend,1,6:00 AM - 8:59 AM,11 - 20,184,169137
October 2024,casual,electric_bike,weekend,1,8:00 PM - 11:59 PM,41 - 50,15,41587
June 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,31 - 40,271,578079
June 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,41 - 50,177,483237
June 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,51 - 60,404,1349240
May 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,11 - 20,258,235249
May 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,21 - 30,660,1013460
May 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,51 - 60,21,69763
March 2024,casual,electric_bike,weekend,1,12:00 PM - 2:59 PM,41 - 50,19,52375
July 2024,casual,classic_bike,weekend,1,6:00 AM - 8:59 AM,51 - 60,23,76164
July 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,0 - 10,1592,683556
April 2024,casual,electric_bike,weekend,1,5:00 PM - 7:59 PM,11 - 20,320,294729
December 2023,casual,classic_bike,weekend,1,3:00 PM - 4:59 PM,0 - 10,213,85125
September 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,60+,93,1235556
September 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,51 - 60,163,549910
October 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,11 - 20,763,706617
October 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,31 - 40,415,886533
August 2024,casual,classic_bike,weekend,1,9:00 AM - 11:59 AM,21 - 30,691,1066777
June 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,41 - 50,19,51617
May 2024,casual,classic_bike,weekend,1,6:00 AM - 8:59 AM,11 - 20,175,159969
May 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,21 - 30,215,324498
May 2024,casual,classic_bike,weekend,1,8:00 PM - 11:59 PM,31 - 40,123,264434
March 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,51 - 60,119,393208
January 2024,casual,electric_bike,weekend,1,12:00 AM - 5:59 AM,0 - 10,50,17742
January 2024,casual,classic_bike,weekend,1,12:00 PM - 2:59 PM,11 - 20,74,65764
January 2024,casual,classic_bike,weekend,1,12:00 AM - 5:59 AM,21 - 30,1,1688
January 2024,casual,electric_bike,weekend,1,9:00 AM - 11:59 AM,31 - 40,3,6372
February 2024,casual,classic_bike,weekend,1,5:00 PM - 7:59 PM,51 - 60,15,49561
April 2024,casual,classic_bike,weekend,1,6:00 AM - 8:59 AM,11 - 20,81,73516
